State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Type,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,Source,State-Specific Comments,Rate Used in Calculating State Mean and Median
California,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Alcohol Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18 to 64,2020,Medicaid,Administrative,31.4,39,40.8,36.8,43.7,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes
California,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Alcohol Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18 to 64,2020,Medicaid,Administrative,6.2,39,12.5,8,15.2,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes
California,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Opioid Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18 to 64,2020,Medicaid,Administrative,42.9,39,54.9,46.1,63.7,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes
California,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Opioid Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18 to 64,2020,Medicaid,Administrative,13.8,39,30.1,17,39.5,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes
California,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Other Drug Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18 to 64,2020,Medicaid,Administrative,36,39,40.5,37.6,44,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes
California,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Other Drug Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18 to 64,2020,Medicaid,Administrative,8.9,39,12.5,9.3,15.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes
California,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Alcohol or Other Drug Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18 to 64,2020,Medicaid,Administrative,35.1,40,42.7,39.3,48.2,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes
California,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Alcohol or Other Drug Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18 to 64,2020,Medicaid,Administrative,8.5,40,16,11.7,19.5,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes
California,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5 to 11,2020,Medicaid & CHIP,Administrative,71,42,72,67.6,77,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 12 to 18,2020,Medicaid & CHIP,Administrative,63.9,42,64.9,59.1,67.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5 to 18,2020,Medicaid & CHIP,Administrative,67.8,42,68.6,63.6,73.5,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Care of Acute and Chronic Conditions,Adult Core Set,Asthma Medication Ratio: Ages 19 to 64,AMR-AD,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 19 to 50,2020,Medicaid,Administrative,53.8,42,53.7,49.6,55.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
California,Care of Acute and Chronic Conditions,Adult Core Set,Asthma Medication Ratio: Ages 19 to 64,AMR-AD,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 51 to 64,2020,Medicaid,Administrative,57.4,42,54.6,50.7,57.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
California,Care of Acute and Chronic Conditions,Adult Core Set,Asthma Medication Ratio: Ages 19 to 64,AMR-AD,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 19 to 64,2020,Medicaid,Administrative,55.1,42,53.7,50.9,56.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
California,Care of Acute and Chronic Conditions,Adult Core Set,Controlling High Blood Pressure: Ages 18 to 85,CBP-AD,Higher rates are better for this measure,Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled: Ages 18 to 64,2020,Medicaid,Administrative & Hybrid,61.1,33,59.2,52.6,64.7,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was derived using both administrative and hybrid method data. The administrative method was used for two MCOs and the FFS population and 23 MCOs used the hybrid method. Denominator is the measure-eligible population. Rate was validated by the state's EQRO. ,Yes
California,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Higher rates are better for this measure,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6 to 9,2020,Medicaid & CHIP,Administrative,24.2,35,23.9,21.8,27.1,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (6 MCOs).,Yes
California,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1 to 20,PDENT-CH,Higher rates are better for this measure,Percentage Enrolled in Medicaid or Medicaid Expansion CHIP Programs for at least 90 Continuous Days with at Least 1 Preventive Dental Service: Ages 1 to 20,2020,Medicaid only,Administrative,39.3,50,41.5,35.5,44.5,,"Mathematica analysis of FFY 2020 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b as of July 2, 2021.",None,Yes
California,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: All Women Ages 15 to 20,CCW-CH,Higher rates are better for this measure,Percentage of Women at Risk for Unintended Pregnancy Provided a Most Effective or Moderately Effective Method of Contraception: Ages 15 to 20,2020,Medicaid & CHIP,Administrative,22.8,37,30,21.2,32.6,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: All Women Ages 15 to 20,CCW-CH,Higher rates are better for this measure,Percentage of Women at Risk for Unintended Pregnancy Provided a Long-Acting Reversible Method of Contraception: Ages 15 to 20,2020,Medicaid & CHIP,Administrative,4.1,37,4.3,3.3,5.8,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15 to 20,CCP-CH,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 3 Days of Delivery: Ages 15 to 20,2020,Medicaid & CHIP,Administrative,3.1,33,5,2.7,9.2,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15 to 20,CCP-CH,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 60 Days of Delivery: Ages 15 to 20,2020,Medicaid & CHIP,Administrative,31.1,36,43.9,35.6,48.1,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15 to 20,CCP-CH,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 3 Days of Delivery: Ages 15 to 20,2020,Medicaid & CHIP,Administrative,1.4,29,2.1,1.2,3.7,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15 to 20,CCP-CH,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 60 Days of Delivery: Ages 15 to 20,2020,Medicaid & CHIP,Administrative,10.1,36,16.4,12.4,20.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Higher rates are better for this measure,"Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester, on or before the enrollment start date, or within 42 Days of Enrollment in Medicaid or CHIP",2020,Medicaid & CHIP,Administrative & Hybrid,90,40,84.4,76.7,88.8,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rates were derived using both administrative and hybrid method data. Three MCOs and the FFS population used the administrative method; 22 MCOs used the hybrid method. Denominator is the measure-eligible population. Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: All Women Ages 21 to 44,CCW-AD,Higher rates are better for this measure,Percentage of Women at Risk for Unintended Pregnancy Provided a Most Effective or Moderately Effective Method of Contraception: Ages 21 to 44,2020,Medicaid & CHIP,Administrative,26.4,31,24.5,23,28.6,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
California,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: All Women Ages 21 to 44,CCW-AD,Higher rates are better for this measure,Percentage of Women at Risk for Unintended Pregnancy Provided a Long-Acting Reversible Method of Contraception: Ages 21 to 44,2020,Medicaid & CHIP,Administrative,4.8,31,5.1,3.6,6.1,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
California,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 3 Days of Delivery: Ages 21 to 44,2020,Medicaid & CHIP,Administrative,9.4,33,11.9,8.7,13,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
California,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 60 Days of Delivery: Ages 21 to 44,2020,Medicaid & CHIP,Administrative,31.8,34,41.6,35.2,46,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
California,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 3 Days of Delivery: Ages 21 to 44,2020,Medicaid & CHIP,Administrative,0.9,31,1.9,0.7,2.7,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
California,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 60 Days of Delivery: Ages 21 to 44,2020,Medicaid & CHIP,Administrative,6.5,34,12.6,9.5,15.6,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rates include FFS and managed care populations (25 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
California,Maternal and Perinatal Health,Adult Core Set,Prenatal and Postpartum Care: Postpartum Care,PPC-AD,Higher rates are better for this measure,Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 7 and 84 Days after Delivery,2020,Medicaid & CHIP,Administrative & Hybrid,72.7,39,72.3,65.7,77,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was derived using both administrative and hybrid method data. Three MCOs and the FFS population used the administrative method and 22 MCOs used the hybrid method. Denominator is the measure-eligible population. Rate was validated by the state's EQRO,Yes
California,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Higher rates are better for this measure,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2020,Medicaid & CHIP,Administrative & Hybrid,NR,42,69.9,62,72.6,NR = State did not report the measure for this population.,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rate was derived using both administrative and hybrid method data. Three MCOs and the FFS population used the administrative method and 22 MCOs used the hybrid method. Administrative data sources are claims/encounters and state immunization registry. Denominator is the measure-eligible population. State was unable to report the Combination 3 rate for FFY 2020. Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,No
California,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Higher rates are better for this measure,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by Their 13th Birthday,2020,Medicaid & CHIP,Administrative & Hybrid,NR,45,79.2,68.5,85.7,NR = State did not report the measure for this population.,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rate was derived using both administrative and hybrid method data. Two MCOs and the FFS population used the administrative method; 23 MCOs used the hybrid method. Administrative data sources are claims/encounters and state immunization registry. Denominator is the measure-eligible population. Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,No
California,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents: Ages 3 to 17,WCC-CH,Higher rates are better for this measure,Counseling for Nutrition: Ages 3 to 17,2020,Medicaid & CHIP,Administrative & Hybrid,NR,38,63.1,53.1,74.9,NR = State did not report the measure for this population.,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (25 MCOs), representing 97 percent of the population. Rate excludes FFS population, representing 3 percent of the population. State was unable to report the Counseling for Nutrition and Counseling for Physical Activity rates for FFY 2020. Rate was derived using both administrative and hybrid method data. Two MCOs used the administrative method and 23 MCOs used the hybrid method. Denominator is the measure-eligible population. Rate was audited by the state's EQRO.",No
California,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents: Ages 3 to 17,WCC-CH,Higher rates are better for this measure,Counseling for Physical Activity: Ages 3 to 17,2020,Medicaid & CHIP,Administrative & Hybrid,NR,38,58.5,48.3,70,NR = State did not report the measure for this population.,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (25 MCOs), representing 97 percent of the population. Rate excludes FFS population, representing 3 percent of the population. State was unable to report the Counseling for Nutrition and Counseling for Physical Activity rates for FFY 2020. Rate was derived using both administrative and hybrid method data. Two MCOs used the administrative method and 23 MCOs used the hybrid method. Denominator is the measure-eligible population. Rate was audited by the state's EQRO.",No
California,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12 to 21,AWC-CH,Higher rates are better for this measure,Percentage with at Least One Well-Care Visit with a Primary Care Practitioner or Obstetrician/Gynecologist: Ages 12 to 21,2020,Medicaid & CHIP,Administrative & Hybrid,51.3,50,53.2,44.8,59.6,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rate was derived using both administrative and hybrid method data. Three MCOs and the FFS population used the administrative method and 22 MCOs used the hybrid method. Denominator is the measure-eligible population. Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Higher rates are better for this measure,"Percentage who had a Measles, Mumps, and Rubella (MMR) Vaccination by their Second Birthday",2020,Medicaid & CHIP,Administrative & Hybrid,87.1,42,88.2,85.2,89.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rate was derived using both administrative and hybrid method data. Three MCOs and the FFS population used the administrative method and 22 MCOs used the hybrid method. Administrative data sources are claims/encounters and state immunization registry. Denominator is the measure-eligible population. State was unable to report the Combination 3 rate for FFY 2020. Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16 to 20,CHL-CH,Higher rates are better for this measure,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16 to 20,2020,Medicaid & CHIP,Administrative,61.4,47,48.7,45,59.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0 to 3,DEV-CH,Higher rates are better for this measure,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0 to 3",2020,Medicaid & CHIP,Administrative,22.2,30,35.6,27.1,57.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Higher rates are better for this measure,Percentage Completing the Human Papillomavirus (HPV) Vaccine Series by Their 13th Birthday,2020,Medicaid & CHIP,Administrative & Hybrid,44.9,45,36.5,32.5,41.9,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rate was derived using both administrative and hybrid method data. Two MCOs and the FFS population used the administrative method; 23 MCOs used the hybrid method. Administrative data sources are claims/encounters and state immunization registry. Denominator is the measure-eligible population. Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents: Ages 3 to 17,WCC-CH,Higher rates are better for this measure,Body Mass Index Percentile Documentation: Ages 3 to 17,2020,Medicaid & CHIP,Administrative & Hybrid,87.1,40,73.2,62.2,83.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (25 MCOs), representing 97 percent of the population. Rate excludes FFS population, representing 3 percent of the population. State was unable to report the Counseling for Nutrition and Counseling for Physical Activity rates for FFY 2020. Rate was derived using both administrative and hybrid method data. Two MCOs used the administrative method and 23 MCOs used the hybrid method. Denominator is the measure-eligible population. Rate was audited by the state's EQRO.",Yes
California,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Higher rates are better for this measure,Percentage who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2020,Medicaid & CHIP,Administrative & Hybrid,54.6,50,65.6,57.5,71.7,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (25 MCOs), representing 97 percent of the population. Rate excludes FFS population and managed care enrollees who were not in the same MCO for the entire continuous enrollment period, representing 3 percent of the population. Rate was derived using both administrative and hybrid method data. Two MCOs used the administrative method and 23 MCOs used the hybrid method. Denominator is the measure-eligible population. Rate was validated by the state's EQRO.",Yes
California,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Higher rates are better for this measure,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3 to 6,2020,Medicaid & CHIP,Administrative & Hybrid,72.7,50,70.4,63.6,76.8,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rate was derived using both administrative and hybrid method data. Three MCOs and the FFS population used the administrative method and 22 MCOs used the hybrid method. Denominator is the measure-eligible population. Managed care data were audited by the state's EQRO and the state conducted an internal validation of FFS data.,Yes
California,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment: Ages 18 to 74,ABA-AD,Higher rates are better for this measure,Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18 to 64,2020,Medicaid & Dual Eligibles,Administrative & Hybrid,92.4,39,85.6,64.1,91.7,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (25 MCOs), representing 77 percent of the population. Rate excludes FFS population and beneficiaries who were not in the same MCO for the entire continuous enrollment period, representing 23 percent of the population. Rate was derived using both administrative and hybrid method data. Two MCOs used the administrative method and 23 MCOs used the hybrid method. Denominator is the measure-eligible population. Rate was validated by the state’s EQRO.",Yes
California,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,63.7,47,54.7,50.4,59.5,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes
California,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening: Ages 21 to 64,CCS-AD,Higher rates are better for this measure,Percentage of Women Screened for Cervical Cancer: Ages 21 to 64,2020,Medicaid,Administrative & Hybrid,60,47,56.7,49.3,62.6,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was derived using both administrative and hybrid method data. The administrative method was used for two MCOs and the FFS population and 23 MCOs used the hybrid method. Denominator is the measure-eligible population. Rate was validated by the state's EQRO.,Yes
California,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women Ages 21 to 24,CHL-AD,Higher rates are better for this measure,Percentage of Sexually Active Women Screened for Chlamydia: Ages 21 to 24,2020,Medicaid,Administrative,68.5,48,60.5,53.8,67.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rates was validated by the state's EQRO.,Yes
