State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Type,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,Source,State Specific Comments,Rate Used in Calculating State Mean and Median
District of Columbia,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Higher rates are better for this measure,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Enrollment in Medicaid or CHIP,2019,Medicaid & CHIP,Administrative,63.9,42,80.7,68.1,85.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and managed care populations (4 MCOs).,Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12 to 21,AWC-CH,Higher rates are better for this measure,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or Obstetrician/Gynecologist: Ages 12 to 21,2019,Medicaid & CHIP,Administrative,55.4,49,50.6,41.7,56.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and managed care populations (4 MCOs).,Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Higher rates are better for this measure,"Percentage who had a Measles, Mumps, and Rubella (MMR) Vaccination by their Second Birthday",2019,Medicaid & CHIP,Hybrid,72.1,41,87.6,85.9,89.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (4 MCOs), representing more than 90 percent of the population. Rates exclude FFS population, representing less than 10 percent of the population. Denominator is the sample size; measure-eligible population is 3,499. Administrative data sources are claims/encounters and state immunization registry. MCO rates were audited by certified HEDIS auditors.",Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Higher rates are better for this measure,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2019,Medicaid & CHIP,Hybrid,49.5,43,68.8,63.1,72.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (4 MCOs), representing more than 90 percent of the population. Rates exclude FFS population, representing less than 10 percent of the population. Denominator is the sample size; measure-eligible population is 3,499. Administrative data sources are claims/encounters and state immunization registry. MCO rates were audited by certified HEDIS auditors.",Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Year: Ages 12 to 24 Months,2019,Medicaid & CHIP,Administrative,89.6,47,95.5,94.4,96.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (4 MCOs), representing more than 90 percent of the population. Rates exclude FFS population, representing less than 10 percent of the population. MCO rates were audited by certified HEDIS auditors.",Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Year: Ages 25 Months to 6 Years,2019,Medicaid & CHIP,Administrative,81.7,47,87.7,85.7,90.1,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (4 MCOs), representing more than 90 percent of the population. Rates exclude FFS population, representing less than 10 percent of the population. MCO rates were audited by certified HEDIS auditors.",Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Two Years: Ages 7 to 11 Years,2019,Medicaid & CHIP,Administrative,91.5,47,91.1,89.1,93.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (4 MCOs), representing more than 90 percent of the population. Rates exclude FFS population, representing less than 10 percent of the population. MCO rates were audited by certified HEDIS auditors.",Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Two Years: Ages 12 to 19 Years,2019,Medicaid & CHIP,Administrative,91.7,47,90.3,88.2,92.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (4 MCOs), representing more than 90 percent of the population. Rates exclude FFS population, representing less than 10 percent of the population. MCO rates were audited by certified HEDIS auditors.",Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16 to 20,CHL-CH,Higher rates are better for this measure,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16 to 20,2019,Medicaid & CHIP,Administrative,79.2,47,49.9,44.7,58.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (4 MCOs), representing more than 90 percent of the population. Rate excludes FFS population, representing less than 10 percent of the population. MCO rates were audited by certified HEDIS auditors.",Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Higher rates are better for this measure,Percentage Completing the Human Papillomavirus (HPV) Vaccine Series by Their 13th Birthday,2019,Medicaid & CHIP,Hybrid,53.0,45,34.4,30.5,39.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (4 MCOs), representing more than 90 percent of the population. Rates exclude FFS population, representing less than 10 percent of the population. Denominator is the sample size; measure-eligible population is 2,686. Administrative data sources are claims/encounters and state immunization registry. MCO rates were audited by certified HEDIS auditors.",Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Higher rates are better for this measure,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by Their 13th Birthday,2019,Medicaid & CHIP,Hybrid,79.2,44,78.6,66.7,85.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (4 MCOs), representing more than 90 percent of the population. Rates exclude FFS population, representing less than 10 percent of the population. Denominator is the sample size; measure-eligible population is 2,686. Administrative data sources are claims/encounters and state immunization registry. MCO rates were audited by certified HEDIS auditors.",Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3 to 17,WCC-CH,Higher rates are better for this measure,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrician/Gynecologist who had Body Mass Index Percentile Documented in the Medical Record: Ages 3 to 17,2019,Medicaid & CHIP,Hybrid,75.7,38,69.7,45.8,80,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (4 MCOs), representing more than 90 percent of the population. Rate excludes FFS population, representing less than 10 percent of the population. Denominator is the sample size; measure-eligible population is 40,951. MCO rates were audited by certified HEDIS auditors.",Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Higher rates are better for this measure,Percentage who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2019,Medicaid & CHIP,Hybrid,51.8,48,64,57.3,69.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (4 MCOs), representing more than 90 percent of the population. Rate excludes FFS population, representing less than 10 percent of the population. Denominator is the sample size; measure-eligible population is 2,641. MCO rates were audited by certified HEDIS auditors.",Yes
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Higher rates are better for this measure,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3 to 6,2019,Medicaid & CHIP,Administrative,69.4,49,69,61.8,74.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and managed care populations (4 MCOs).,Yes
Florida,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17,2019,Medicaid & CHIP,Administrative,41.3,44,41.9,35,58.8,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PPCM, and managed care populations (17 MCOs). Rates include follow-up services provided by community mental health practitioners. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17,2019,Medicaid & CHIP,Administrative,61.1,44,66.3,58.6,79.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PPCM, and managed care populations (17 MCOs). Rates include follow-up services provided by community mental health practitioners. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12,2019,Medicaid & CHIP,Administrative,40.6,40,48.6,41.9,55.8,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits in the 9 Months Following the Initiation Phase: Ages 6 to 12,2019,Medicaid & CHIP,Administrative,54.3,40,58.6,52,67.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1 to 17,2019,Medicaid & CHIP,Administrative,60.4,29,62.8,57.2,69.4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1 to 17,APC-CH,Lower rates are better for this measure,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1 to 17,2019,Medicaid & CHIP,Administrative,2.1,42,2.6,3.5,1.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0 to 19,AMB-CH,Lower rates are better for this measure,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0 to 19",2019,Medicaid & CHIP,Administrative,55.1,47,43.6,50.1,37,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5 to 11,2019,Medicaid & CHIP,Administrative,80.4,39,72.8,67.9,79.1,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 12 to 18,2019,Medicaid & CHIP,Administrative,71.7,39,64.6,59.9,68.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5 to 18,2019,Medicaid & CHIP,Administrative,77.1,40,69.4,65.6,74,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Higher rates are better for this measure,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6 to 9,2019,Medicaid & CHIP,Administrative,21.6,35,22.7,19.1,25.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1 to 20,PDENT-CH,Higher rates are better for this measure,Percentage Enrolled in Medicaid or Medicaid Expansion CHIP Programs for at least 90 Continuous Days with at Least 1 Preventive Dental Service: Ages 1 to 20,2019,Medicaid only,Administrative,39.4,51,49.1,44.1,52.1,,"Mathematica analysis of FFY 2019 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b as of July 1, 2020.",None,Yes
Florida,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: All Women Ages 15 to 20,CCW-CH,Higher rates are better for this measure,Percentage of Women at Risk for Unintended Pregnancy Provided a Most Effective or Moderately Effective Method of Contraception: Ages 15 to 20,2019,Medicaid & CHIP,Administrative,17.4,28,29.5,20.7,32.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (17 MCOs). State was unable to report the LARC rate for FFY 2019.",Yes
Florida,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: All Women Ages 15 to 20,CCW-CH,Higher rates are better for this measure,Percentage of Women at Risk for Unintended Pregnancy Provided a Long-Acting Reversible Method of Contraception: Ages 15 to 20,2019,Medicaid & CHIP,Administrative,NR,27,4.8,3.4,5.9,NR = State did not report the measure for this population,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (17 MCOs). State was unable to report the LARC rate for FFY 2019.",Yes
Florida,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15 to 20,CCP-CH,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 3 Days of Delivery: Ages 15 to 20,2019,Medicaid only,Administrative,1.2,32,4.1,2.4,7.4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (11 MCOs), representing more than 90 percent of the population. Rates exclude FFS and PCCM populations, representing less than 10 percent of the population. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15 to 20,CCP-CH,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 60 Days of Delivery: Ages 15 to 20,2019,Medicaid only,Administrative,32.0,32,41.8,31.7,47.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (11 MCOs), representing more than 90 percent of the population. Rates exclude FFS and PCCM populations, representing less than 10 percent of the population. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15 to 20,CCP-CH,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 3 Days of Delivery: Ages 15 to 20,2019,Medicaid only,Administrative,0.1,32,2,0.8,4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (11 MCOs), representing more than 90 percent of the population. Rates exclude FFS and PCCM populations, representing less than 10 percent of the population. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Maternal and Perinatal Health,Child Core Set,Contraceptive Care: Postpartum Women Ages 15 to 20,CCP-CH,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 60 Days of Delivery: Ages 15 to 20,2019,Medicaid only,Administrative,8.8,32,15.8,11.5,19.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include managed care population (11 MCOs), representing more than 90 percent of the population. Rates exclude FFS and PCCM populations, representing less than 10 percent of the population. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,Lower rates are better for this measure,"Percentage of Live Births that Weighed Less Than 2,500 Grams",2019,Medicaid only,Administrative,10.1,51,9.5,10.7,8.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020 as well as the Centers for Disease Control and Prevention Wide-ranging ONline Data for Epidemiologic Research (CDC WONDER) data.",CMS calculated rate using CDC WONDER data.,Yes
Florida,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Higher rates are better for this measure,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Enrollment in Medicaid or CHIP,2019,Medicaid & CHIP,Administrative & Hybrid,83.2,42,80.7,68.1,85.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and managed care populations (17 MCOs). Rate was derived using both administrative and hybrid method data. The hybrid method was used by 16 MCOs and for the FFS and PCCM populations; one MCO used the administrative method. Denominator is the measure-eligible population. MCO rates were audited by certified HEDIS auditor.,Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12 to 21,AWC-CH,Higher rates are better for this measure,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or Obstetrician/Gynecologist: Ages 12 to 21,2019,Medicaid & CHIP,Administrative & Hybrid,60.2,49,50.6,41.7,56.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (17 MCOs). Rate was derived using both administrative and hybrid method data. The hybrid method was used by 15 MCOs and for the FFS and PCCM populations; two MCOs used the administrative method. Denominator is the measure-eligible population. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Higher rates are better for this measure,"Percentage who had a Measles, Mumps, and Rubella (MMR) Vaccination by their Second Birthday",2019,Medicaid & CHIP,Hybrid,NR,41,87.6,85.9,89.5,NR = State did not report the measure for this population,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (11 MCOs). State was unable to report the MMR rate for FFY 2019. Denominator is the sample size; measure-eligible population is 107,995. Administrative data sources are claims/encounters and state immunization registry. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Higher rates are better for this measure,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2019,Medicaid & CHIP,Hybrid,73.3,43,68.8,63.1,72.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (11 MCOs). State was unable to report the MMR rate for FFY 2019. Denominator is the sample size; measure-eligible population is 107,995. Administrative data sources are claims/encounters and state immunization registry. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Year: Ages 12 to 24 Months,2019,Medicaid & CHIP,Administrative,94.8,47,95.5,94.4,96.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Year: Ages 25 Months to 6 Years,2019,Medicaid & CHIP,Administrative,88.6,47,87.7,85.7,90.1,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Two Years: Ages 7 to 11 Years,2019,Medicaid & CHIP,Administrative,88.7,47,91.1,89.1,93.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Two Years: Ages 12 to 19 Years,2019,Medicaid & CHIP,Administrative,85.4,47,90.3,88.2,92.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16 to 20,CHL-CH,Higher rates are better for this measure,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16 to 20,2019,Medicaid & CHIP,Administrative,62.4,47,49.9,44.7,58.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (17 MCOs). MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0 to 3,DEV-CH,Higher rates are better for this measure,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0 to 3",2019,Medicaid & CHIP,Hybrid,22.9,28,32.7,21.8,54,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (11 MCOs). Denominator is the sample size; measure-eligible population is 314,666. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Higher rates are better for this measure,Percentage Completing the Human Papillomavirus (HPV) Vaccine Series by Their 13th Birthday,2019,Medicaid & CHIP,Hybrid,38.0,45,34.4,30.5,39.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (17 MCOs). Denominator is the sample size; measure-eligible population is 91,107. Administrative data sources are claims/encounters and state immunization registry. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Higher rates are better for this measure,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by Their 13th Birthday,2019,Medicaid & CHIP,Hybrid,74.1,44,78.6,66.7,85.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS, PCCM, and managed care populations (17 MCOs). Denominator is the sample size; measure-eligible population is 91,107. Administrative data sources are claims/encounters and state immunization registry. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3 to 17,WCC-CH,Higher rates are better for this measure,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrician/Gynecologist who had Body Mass Index Percentile Documented in the Medical Record: Ages 3 to 17,2019,Medicaid & CHIP,Hybrid,87.8,38,69.7,45.8,80,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate include FFS, PCCM, and managed care populations (17 MCOs). Denominator is the sample size; measure-eligible population is 1,077,101. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Higher rates are better for this measure,Percentage who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2019,Medicaid only,Hybrid,69.6,48,64,57.3,69.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS and managed care populations (12 MCOs). Denominator is the sample size; measure-eligible population is 96,864. MCO rates were audited by a certified HEDIS auditor.",Yes
Florida,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Higher rates are better for this measure,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3 to 6,2019,Medicaid & CHIP,Administrative & Hybrid,77.9,49,69,61.8,74.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS, PCCM, and managed care populations (17 MCOs). Rate was derived using both administrative and hybrid method data. The hybrid method was used by 16 MCOs and for the FFS and PPCM populations; one MCO used the administrative method. Denominator is the measure-eligible population. MCO rates were audited by a certified HEDIS auditor.",Yes
Georgia,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0 to 19,AMB-CH,Lower rates are better for this measure,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0 to 19",2019,Medicaid & CHIP,Administrative,45.4,47,43.6,50.1,37,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and managed care populations (4 MCOs). Rate was validated by the state's EQRO.,Yes
